time,point_1,point_2,point_3,point_4,point_5,point_6,point_7,point_8,point_9,point_10,point_11,point_12,current
1.25,209.97505314509507,212.54362894272293,211.80357832589675,212.97661572135516,211.7364317798126,212.16778596400627,212.0401297616817,214.1536380478018,213.4113192470143,215.72090274655258,216.11798372870769,213.56872772552407,4604.166666666667
1.3,210.4259707024431,211.57879092549123,212.91320267438567,210.60698070806873,215.17542331484188,210.09604750008432,213.28209006936936,214.25050443345975,213.8734832297828,214.29946238342276,213.1984531120992,214.5742596647227,4608.333333333333
1.35,213.926895107922,209.79220667712454,212.3481307120926,212.39701840726303,212.8139217193116,214.0874196343676,212.94073163497464,213.73825832892155,215.20626335899664,217.0735392268298,214.84069589977886,217.74260464396968,4612.5
1.4000000000000001,211.71664847740556,211.45068933235905,212.8455693221252,213.1781320251887,214.24749722192337,214.27414250885832,213.66265148432555,214.47423967043503,215.03742641705637,215.10110835833586,216.81894018850326,217.19387415613747,4616.666666666667
1.4500000000000002,210.8127577626316,211.74221787125222,212.0428983166218,213.96174844070583,215.54567272343195,215.31964391924046,214.01136122715005,216.42951373587093,216.01261502747823,215.14357349841583,218.82661816931258,217.78438430455114,4620.833333333333
1.5,212.7813365697633,212.09961528780119,212.82653007759072,213.39711422135474,213.37206634753005,213.57656024735954,216.78070916053954,214.6352502098815,217.90334200164546,215.94830573849984,219.5695585167308,218.07065829583442,4625.0
1.55,212.7501084786185,212.3953987974547,214.05068833820428,214.8833797851928,213.83315328790886,216.10910198139214,216.68800968079967,218.54259451025644,216.99672407678054,218.6161826595158,219.21908772752585,218.180902598483,4629.166666666667
1.6,213.40344829459806,214.43107400193205,215.41893590218626,214.3132331101466,215.24896562160237,214.22189665507295,216.83201690123363,215.4223812765829,218.24619158505277,218.07415700247418,218.4393381022966,219.98528641462028,4633.333333333333
1.6500000000000001,213.24243470051135,213.30197393642356,215.66213962119116,216.9269191720575,215.6829118960431,214.86348492127087,216.93058399127304,217.6255821342324,218.13796826164477,218.9688750826005,219.72920195626693,218.5437653608621,4637.5
1.7000000000000002,213.85773976844328,213.7004948840809,215.85294143446126,215.42486985043874,214.89545340638506,219.81670823921357,216.24675027383566,218.47682790967846,218.64942480379997,221.52593324859444,218.879658595008,219.71646316680736,4641.666666666667
1.75,214.187665665465,215.7049740757546,215.4949785372137,216.56650395175257,218.47418209847044,218.49465998162097,219.03658378309444,219.77550441086214,218.7408079305881,218.53192881546337,221.1245573229683,221.93765855922874,4645.833333333333
1.8,215.84813122585464,216.55791170899403,216.5311741771947,215.86159745933986,218.08926460857725,217.86502478406078,219.36857117381285,220.18783672868287,220.72327202236582,219.99383500801974,221.07898668066326,220.44790692576788,4650.0
1.85,215.44400053694056,214.31585724072315,215.3453602332241,217.93018841225515,216.61268012378528,219.18571311081718,218.15729486656446,219.04590776287586,222.94851501435733,222.13858201457262,221.56713135714676,223.15970568702505,4654.166666666667
1.9000000000000001,213.86473185848678,215.1499918974754,218.24286740641188,219.26238025294523,219.40368158976648,216.70534340937027,219.36298821911143,220.08174906443605,222.25546723231048,223.0893034590749,221.95144493480814,222.11634066038044,4658.333333333333
1.9500000000000002,215.75021315654146,215.37401903449452,216.86255173582992,217.13018718730663,218.77476904542513,219.46725976061143,218.74860273730116,220.6969439540815,220.8443418102156,220.14685491792147,221.7659490930652,222.8505511532532,4662.5
2.0,216.59191331836158,216.40388312133967,218.56356007332704,219.46388763673696,218.64186782680238,221.66953969043615,221.2317302311482,221.16451787625516,222.71054741860362,222.4472486667508,224.04886569804975,223.17093153809515,4666.666666666667
2.0500000000000003,216.71250455014118,218.52930534880173,217.65475804036762,219.4417761615394,218.17632865698636,220.3944693925827,223.08273945939033,221.40543457689648,222.93268105980252,222.23468082704025,225.0992784755352,225.41046647055373,4670.833333333333
2.1,215.57165749230543,218.24969384238065,220.4416028049746,220.44114187060939,218.88850683586594,221.4773455344475,220.56736793399267,221.39577098635752,223.8184869818427,223.64004476944666,225.37031204054875,225.1033280955847,4675.0
2.15,218.21691088464385,218.34249807746937,220.6254182188074,219.68453500957216,221.53581287699586,222.56629206844843,222.95322849410485,224.47634616710636,222.88789230218072,223.59142280435077,225.06806841748326,227.0966915812651,4679.166666666667
2.2,218.55737385383335,217.54233707098717,220.13324013728064,220.68347170449616,219.50117965622138,223.28566432032713,220.8734639229501,224.01042841549258,224.8141480017284,225.22930137784527,227.32331421446494,227.15131127551481,4683.333333333333
2.25,219.80983205561495,219.07207397072415,219.75332942114173,221.21633245798893,220.4186112383148,220.99275774545865,221.64747800013225,224.44815579100086,225.58686241763246,226.52731581533916,225.7603138905239,226.86762797465465,4687.5
2.3000000000000003,220.09175664843923,220.14078462804667,220.8587915081313,221.01711348996207,221.19339423104836,223.52159203074692,225.51503356721966,223.87234570595157,225.86256851456483,225.1921655825631,227.6516119039298,227.8239697225849,4691.666666666667
2.35,218.084275217178,217.8048691966515,221.79979330666688,220.19419110473763,223.79212295081243,222.6356713352328,222.90368142834186,224.92238533735133,226.99590646878198,226.68767710610175,227.9897189217999,227.99787404271126,4695.833333333333
2.4000000000000004,220.89210116064731,220.73809405622842,222.96161425627585,222.8361766707535,223.2901384378672,224.40213598409025,225.0712015394565,224.97452168990282,227.07293504271667,228.15109845758644,229.20386074292364,229.55351265263724,4700.0
2.45,221.268494329022,221.2692646460387,221.77078287488985,224.44175341597312,223.1247636249784,224.14846757022067,226.25532241106376,226.83391056670803,227.4419472394493,227.39766671197657,228.58944308218022,231.14445260630632,4704.166666666667
2.5,219.71290591154357,222.333866414712,221.65956329928696,223.8596615854164,222.98109342492518,226.76554777367113,225.88296555768653,226.57047011698245,226.4284333109873,228.0401004942517,229.12833341247205,229.98795224340265,4708.333333333333
2.5500000000000003,221.42967819635265,222.73449868230097,221.46537111076486,223.81414525637786,224.56794682514925,226.45030678903478,226.30924289522986,229.25245176388276,227.83985211102055,230.5639029020759,229.5665419493356,229.60337893111017,4712.5
2.6,220.3790737898384,223.7647936121953,223.92547495557045,224.4438038206117,224.15287816702866,226.65881465504452,225.82203495863405,226.44239079526525,229.4443496469067,229.57749554721238,231.5296228907617,231.8690615638782,4716.666666666667
2.6500000000000004,222.34065381984468,221.2758811407131,224.051729801505,224.56485006290066,225.01201174318743,226.3054427495208,228.1242374801653,229.78014334097713,226.9657848229713,229.023123805293,231.27850181011755,230.99469307688648,4720.833333333333
2.7,222.14315638438137,221.24278256296472,225.30188944816163,224.51461780991784,227.46326042158003,226.49733056276608,227.99646929930196,229.37985022370924,228.3379211742165,229.40567207349025,231.3456225618399,232.1790472953847,4725.0
2.75,221.92368660045696,223.56455304532463,223.44996573091305,226.8236313961603,225.82147475229834,226.2367752135123,226.39432077090433,228.3737423563875,229.3510413977694,231.11830627695716,231.49875843135155,233.0854484193639,4729.166666666667
2.8000000000000003,223.30301067569272,225.30567278533692,225.9968597798305,225.53010540740868,226.32338402356535,227.33849912945064,228.26639626054558,228.53610748277808,231.44244381022574,233.51433239622352,232.60067567324188,233.65704300401325,4733.333333333333
2.85,225.26573056695125,226.28100586839568,223.87997507717404,226.28165470941312,228.54114560129253,229.23358219541495,227.70722225848195,230.78176517879615,232.29090891592313,232.8557726050267,233.37687043998002,233.0546966074324,4737.5
2.9000000000000004,223.57658900098107,224.04610577850846,225.1214537005452,227.79024524368464,227.40151408591066,227.84029531852994,228.54709274297355,230.0015358843656,232.20893717024424,232.88156480604079,233.5628033184794,233.2453475399992,4741.666666666667
2.95,223.7454128166017,226.65320243956478,228.15251095441653,227.37066148012994,228.21810537817282,230.88571434974492,229.79275394874225,231.67939996569297,232.6846159775427,234.96419267799232,233.66383532472864,234.87694017525396,4745.833333333333
3.0,225.35223169242917,225.06712543037543,226.57839618544998,228.2151183669503,230.76008414925286,230.77080485277045,232.35688140522646,231.73408414039665,232.2657637418425,234.6583095600142,233.53097707079024,234.95146989969624,4750.0
3.0500000000000003,225.57127518176262,227.03035086870293,226.86653150238305,229.184953323201,228.8987020988431,231.4257035685288,230.65951629673165,231.4929997102809,233.18795638332583,232.23103994895496,236.14139300209277,236.98348972965508,4754.166666666667
3.1,225.59330225367387,227.53108471193036,229.94838220777936,229.20746597580862,230.37636597215732,230.75773181767138,230.57900870012577,233.61773934764582,236.06804496004787,236.28119585005848,235.95448459607073,235.67839886092708,4758.333333333333
3.1500000000000004,225.72310308038553,226.94699552706393,228.6426782742024,231.02079047626336,229.04857963678091,232.09754861008423,231.02632181702756,233.33286852069793,234.3932221077201,236.76201888138192,236.75290771049947,237.99090399026431,4762.5
3.2,226.76181490846824,228.83366061949178,229.16959243519648,230.48911190900728,229.98066840735416,231.3154324672514,233.75332434089472,234.59615612467252,234.80801301809473,235.49953087911553,237.37929656796882,240.0381011126904,4766.666666666667
3.25,227.20937974294773,227.8088937170912,229.7037929291694,232.67245795948747,232.9004248901432,232.50311389861736,232.1076365178052,233.47177689074314,235.15535524652816,237.8666101117503,236.86716219262402,239.5691548264083,4770.833333333333
3.3000000000000003,227.376551501828,228.14473498646882,230.7221887096314,231.8596956372642,231.17750314478482,232.1009253726911,232.88524188439803,235.79925042716005,235.212130310304,237.60470945330988,238.1155682647002,239.57913871671832,4775.0
3.35,228.39111113630935,229.77960321496118,227.83748763079797,231.44236713611141,230.3031854355,231.7008679272068,234.06788143503363,235.57600378943485,236.42834131817887,238.9743564440341,239.62094879831392,240.14200507402245,4779.166666666667
3.4000000000000004,227.92995476155178,228.1927114061584,230.76680494707855,230.97810257729802,232.9137304425716,233.60093932788246,235.99299494005604,234.2312602234972,238.72107656291055,240.4095755774362,239.64779694544004,239.75719766962695,4783.333333333333
3.45,228.84287416649224,229.3975457651637,230.22618744584437,233.4871384515236,231.69030977294065,234.2499697349661,236.60150689678426,235.03380452532497,236.8403252645048,241.1574791898013,239.9712579903212,242.26238387317795,4787.5
3.5,227.6008884232766,231.16599347758083,231.95419425092103,231.61076608093083,234.0803361459396,234.52635323651882,236.0632946735046,235.62859110898606,239.37585430355753,240.3380264535928,242.12017625016995,240.7876484994327,4791.666666666667
3.5500000000000003,230.31429540899137,231.45628680403237,231.11469861903151,233.81402248116143,235.6419062388068,235.70439520314756,235.44054320226604,238.19901488827142,240.7113444377738,239.8453085426857,240.1029283474176,241.82147295646595,4795.833333333333
3.6,229.91691851868302,231.00047236292696,233.27771582947972,233.75822517706254,234.17129665218127,235.4462605756567,236.14754461846448,237.49039500155402,238.8147002780241,239.41102102045815,242.72295382449798,244.84538597113988,4800.0
3.6500000000000004,230.2719888599782,232.09777239624913,233.54306498304572,232.98506739915675,234.9904839496502,237.30575877426395,237.66551756344657,238.71349490743472,240.44874238250495,241.880243328901,243.31196526003833,244.55177930366744,4804.166666666667
3.7,232.73147055919267,231.72408276609195,233.55818176366984,233.9206466685863,236.6609203403911,238.4661442637196,240.7416423891845,239.28503319636087,241.33572989724033,242.8491171712067,243.25738199425246,242.99535963092168,4808.333333333333
3.75,231.24508880039852,231.3887073668327,234.30046788987477,236.47296546639825,236.65789087575175,237.71524105668794,238.86295246771584,239.6712707650453,241.3057564451961,242.75483439095882,244.4732014133737,243.88626908705956,4812.5
3.8000000000000003,232.37209877822534,234.0549398047299,233.44504717048363,235.37721953702354,236.66677269697084,237.25690639096382,238.3899994406926,241.14466900585342,243.17307609921556,242.21187744962523,244.9679901900902,247.0996209677892,4816.666666666667
3.85,232.28418265123716,232.26105959261147,234.20642931125872,237.16928272046275,237.55917281016966,237.09391416276384,240.84416193764577,240.70832501366007,243.48769475670298,242.41462288015015,243.96870768716752,246.36125290185728,4820.833333333333
3.9000000000000004,231.13750312991203,233.47517035844228,233.9341395603843,236.07166654478968,237.1873417141379,238.81138020465858,241.05924318547025,241.3840802480002,243.97695866737413,243.81382662916207,245.62726005876726,247.1522033274136,4825.0
3.95,234.11825926893658,234.61299592034655,234.54078001455144,235.99864052745946,237.1748928287264,239.0827348917526,239.65147208420942,243.05307203100247,243.44067144072025,244.91081298818338,245.68800873632787,246.144661486097,4829.166666666667
4.0,233.4335941585469,233.17865200155015,235.86789902161124,236.93758385189292,239.19302178315138,238.9410784629828,241.53670582750556,244.2654367716044,244.32003909325442,246.16707604227454,246.2518719015959,247.82751416670513,4833.333333333333
4.05,233.85121952141074,233.19138249612638,237.04382550638297,238.07344013768017,238.3053503066827,241.50981995182568,243.20500310129964,243.8735527401427,243.71961721852745,246.25353564946835,247.1242257620976,248.7136427260066,4837.5
4.1000000000000005,232.72683303426575,235.8974530866809,237.1560223019145,239.1394449959797,240.22876305466656,240.64671113446778,240.87525766063163,243.0106738299398,245.80750636660952,245.79063424204548,245.8565082443477,249.52086207808654,4841.666666666667
4.15,234.57456546206356,234.92761643476516,235.56112209222752,239.6528984668906,239.0987199082745,241.12908100307902,241.8731327458126,244.2578286711819,244.92084380783447,248.05543740450702,247.34128767730292,249.44848167714966,4845.833333333333
4.2,234.09055050938227,235.32672130725962,238.29627883915632,239.022399825665,241.09332000302376,243.01432853030732,244.31941847031672,245.66014492820887,248.13659438325533,247.76591262983274,249.82556016667624,249.14883749499538,4850.0
