time,point_1,point_2,point_3,point_4,point_5,point_6,point_7,point_8,point_9,point_10,point_11,point_12
1.35,211.80416971126928,211.91262907529517,210.84650703903958,213.19656908600052,214.0192336532969,214.66037853968058,213.36523872404825,213.55293396079313,213.08238683960613,215.70035936026588,215.92677887476538,214.63654345826035
1.4000000000000001,212.5061150195356,211.82604819293473,212.85312283248118,214.67639031480627,212.4434397217188,213.18056707132874,213.62319402419894,213.88830802652012,212.50087517721863,215.71069068343166,216.59007898205215,217.7628832316351
1.4500000000000002,211.72666888840186,213.91546085592563,213.41100290464033,214.49395003426451,213.20425888876738,216.3277544771018,216.6655616369296,216.9757306146966,216.20429884002093,217.58285984360356,218.2408477013279,217.41184307727255
1.5,211.6345789934833,213.969757735082,214.21168657036787,214.74290912166322,213.01189398563523,212.97139729753061,215.43671989312602,218.05347961258994,217.4740696027292,215.94023956378584,217.12074829283807,217.55598159115152
1.55,212.13370956040274,214.31658177499878,213.4104013597106,214.37444434634517,214.90062233852453,215.14094488222636,216.6334750036673,216.07856099124197,215.9495663448908,216.39116453855263,216.96647512060886,218.3062122687903
1.6,212.90153085689633,213.3356130175981,215.39151538838053,213.82259666469258,214.83125253179153,216.82000585389883,217.35090992079293,217.41270609709343,217.47595368384054,217.79969825232538,219.62444504055432,218.68838681462321
1.6500000000000001,214.03414205830703,214.45824304436061,213.13562641025473,215.09826127546407,215.54795880184136,216.29065868207735,216.8989483133141,217.83066614841806,217.72288907994997,218.23408454341032,218.47184797087837,218.79410969493952
1.7000000000000002,215.06213503638665,216.1551095242998,216.2702188244588,215.38315381985885,215.1847551950265,217.82266829624606,216.63574476111395,219.36560541703085,219.37564490233987,218.9207434948584,219.5879983839215,220.528328288018
1.75,216.55603058644996,215.4351078673597,217.810499745374,215.73690145015988,216.63779653023562,217.94612505413468,216.68236965531378,219.93443507407963,219.14776197592607,220.93772611364017,220.10446156738584,222.32792903316246
1.8,214.7994157295906,215.236380009643,216.81652166725783,215.3123807284328,217.4777768353304,218.83986581210624,217.59964715341292,219.09656641811534,218.76318314526947,221.60475131562387,220.6166629468396,221.62465172023795
1.85,215.8511453494348,215.51972094676682,217.92408482231068,216.80619218571655,217.54661161749243,218.84861132348135,219.0391759294808,220.68963069948748,221.20423963058428,221.13261218577202,220.0515507503735,222.69661403684532
1.9000000000000001,214.9761172950583,216.3826918904473,217.22810982314775,218.4793547496948,219.24061799687524,218.36638266988024,219.79381417780985,220.43557167931712,220.50216186152727,221.22765182134722,223.1822938244549,224.92446850003537
1.9500000000000002,214.5519132493999,216.07975034206757,217.93181717125546,217.89133984429435,220.08323864306806,218.91239776483852,218.6601317126465,221.4466407821775,220.72683901483245,220.52867999222207,222.17059221988703,224.2948255085823
2.0,217.16719987729925,216.63555156890374,218.78212144800938,220.15700704682013,219.76538259635632,219.5063056503097,222.24114813835493,223.43969704950962,222.37580283197505,223.31198918425534,223.33251930016922,224.36850075520832
2.0500000000000003,218.78624861852637,219.01870500970364,218.78328649988995,219.48734932696064,219.10127154873385,221.02856145206076,220.8493052364262,222.2119430170747,221.90846213021862,223.46724243580437,224.76122300455765,225.69723186159186
2.1,216.41859534728985,218.88471274210576,218.75581037347226,220.20894199055567,221.4105112925909,221.46223492179556,222.19110949504014,222.7024432960741,225.30776270982452,225.55037488392415,226.0936121360331,225.28434342765368
2.15,216.1725733062093,219.47107804878868,222.16178559367594,221.40419760475754,220.99207767762877,220.9701937560604,222.34095839247175,224.71355636284144,222.3554203329128,223.8952785350412,224.1009232106608,225.69304455418558
2.2,219.20926491496297,218.5648711518223,220.82222268662363,219.93145757519227,220.5527387694026,221.13048634127165,224.17118842251662,225.45100795410838,223.13976739506455,225.85652692940144,226.1346729108365,226.04232554372112
2.25,218.50746289556574,219.24582400834097,219.17309054910385,220.40044455810565,222.22339861712692,223.22577834503232,225.64734897754275,222.94012744179085,222.9409788142858,223.71764616383908,226.02731819154164,227.4154282165507
2.3000000000000003,218.7748156108379,219.02510490505415,221.20389422498306,220.4410874870851,221.8399613067891,225.02187850291327,223.56502549246483,225.20373710634723,223.37518897879906,227.91604695007376,226.790488974614,227.98419020222866
2.35,220.71017457189234,219.0953349342112,220.35212098313343,220.49218949595246,221.64637062163618,224.1482447401441,223.65759419334455,224.1005885429796,225.13425864635107,228.80862713546563,227.3950544375975,227.86210876527605
2.4000000000000004,220.2020084866088,221.6999986205917,223.4425932133236,222.5708432318095,222.97564041614595,222.68365982662428,224.49991310381532,225.75862445840662,226.72776515582063,226.49096603953882,229.29985627444802,228.23793137377731
2.45,220.07541094087884,222.3159850634849,222.6367963490507,223.67501374191008,223.03501911570075,226.5162195967101,226.2240871579563,227.04947400199634,226.23676099484388,228.26705782278162,229.11215938904613,228.99743488176443
2.5,221.89057254715198,222.79731532877128,223.50586989062126,222.25589265461082,224.38205160205223,224.95422978044772,226.78967882325787,226.54224331468924,227.86051436876366,228.78612360108946,230.9206777441343,230.37906278979105
2.5500000000000003,221.07722579725188,221.74818259977312,222.78154970876108,225.23335634832097,222.89816981947263,227.48904847591493,225.95102915687227,226.55342124199342,227.7589882895953,229.6495832179776,229.35599986888354,230.75472433416658
2.6,222.50153084358956,224.1477806222399,222.18068641584264,225.29347083602644,225.69891603930594,226.46264447085582,228.8015076807203,226.44070968865205,226.9992513764991,228.99750619872387,230.7069341919146,230.66793043543072
2.6500000000000004,223.0088802262666,224.84417930109151,223.8978853517948,224.1842914196284,224.99452540609718,228.03689747808565,227.2332738635759,228.03563012721568,230.21875433092686,232.15805101906525,230.28568721228245,232.94878833180337
2.7,224.04440524056758,222.55255021433533,226.32885922843198,225.30508598920522,224.9497308315128,227.16310578384696,229.57704567198297,229.6900054059552,230.8313412219189,231.88909047298426,231.66200214991377,232.1658000652181
2.75,222.42204466248955,224.59998150244752,225.80121129724117,225.64590767767461,226.51991617786956,228.94748195017578,228.13433815167485,228.90878034748786,230.20635336476528,231.16030138725733,232.57370815668753,233.50364945363907
2.8000000000000003,221.68439912192974,225.03773521632655,226.1630859070653,226.1863537778319,227.22097347307977,227.00495388055182,227.8692980772407,229.36165542656482,231.07173655939116,232.29709118255866,232.29340849908576,233.52380769570078
2.85,224.44747836884835,224.99245264907267,226.20815263762384,225.62874193031027,228.5799700143031,230.11898839388095,230.06121764851724,228.59760960891637,230.86153124134313,231.3672942453433,233.69112914922292,233.5080161352093
